symbol,name,profit,win,loss,trades,longProfit,shortProfit,longCount,shortCount
7011,三菱重工業,8400,1,0,1,8400,0,1,0
3436,SUMCO,8400,1,0,1,8400,0,1,0
6758,ソニーグループ,800,1,0,1,800,0,1,0
6526,ソシオネクスト,0,0,0,0,0,0,0,0
6920,レーザーテック,0,0,0,0,0,0,0,0
6857,アドバンテスト,0,0,0,0,0,0,0,0
9107,川崎汽船,0,0,0,0,0,0,0,0
8306,三菱UFJ FG,0,0,0,0,0,0,0,0
9984,ソフトバンクグループ,0,0,0,0,0,0,0,0
8035,東京エレクトロン,0,0,0,0,0,0,0,0
4568,第一三共,0,0,0,0,0,0,0,0
3778,さくらインターネット,0,0,0,0,0,0,0,0
285A,キオクシアHD,0,0,0,0,0,0,0,0
6981,村田製作所,0,0,0,0,0,0,0,0
6976,太陽誘電,0,0,0,0,0,0,0,0
5803,フジクラ,0,0,0,0,0,0,0,0
5016,JX金属,0,0,0,0,0,0,0,0
8316,三井住友FG,0,0,0,0,0,0,0,0
6723,ルネサスエレクトロニクス,0,0,0,0,0,0,0,0
7203,トヨタ自動車,0,0,0,0,0,0,0,0