filter,month,profit,avgPerDay,posDays,days
"F0_ベースライン(0.55%)",2025-11,117850,6547,9,18
"F0_ベースライン(0.55%)",2025-12,147200,6691,12,22
"F0_ベースライン(0.55%)",2026-01,-120950,-6366,2,19
"F0_ベースライン(0.55%)",2026-02,-550,-31,6,18
"F0_ベースライン(0.55%)",2026-03,131750,6274,9,21
"F0_ベースライン(0.55%)",2026-04,164700,7843,11,21
"F0_ベースライン(0.55%)",2026-05,142700,7928,8,18
"FA_クールダウン10本",2025-11,117850,6547,9,18
"FA_クールダウン10本",2025-12,147200,6691,12,22
"FA_クールダウン10本",2026-01,-120950,-6366,2,19
"FA_クールダウン10本",2026-02,-550,-31,6,18
"FA_クールダウン10本",2026-03,131750,6274,9,21
"FA_クールダウン10本",2026-04,164700,7843,11,21
"FA_クールダウン10本",2026-05,137000,7611,8,18
"FA_クールダウン15本",2025-11,117850,6547,9,18
"FA_クールダウン15本",2025-12,147200,6691,12,22
"FA_クールダウン15本",2026-01,-120950,-6366,2,19
"FA_クールダウン15本",2026-02,-550,-31,6,18
"FA_クールダウン15本",2026-03,131750,6274,9,21
"FA_クールダウン15本",2026-04,164700,7843,11,21
"FA_クールダウン15本",2026-05,141500,7861,8,18
"FA_クールダウン20本",2025-11,117850,6547,9,18
"FA_クールダウン20本",2025-12,147200,6691,12,22
"FA_クールダウン20本",2026-01,-120950,-6366,2,19
"FA_クールダウン20本",2026-02,-550,-31,6,18
"FA_クールダウン20本",2026-03,128550,6121,9,21
"FA_クールダウン20本",2026-04,164700,7843,11,21
"FA_クールダウン20本",2026-05,128300,7128,8,18
"FB_RSI>=52",2025-11,-4100,-228,3,18
"FB_RSI>=52",2025-12,55400,2518,6,22
"FB_RSI>=52",2026-01,-61950,-3261,2,19
"FB_RSI>=52",2026-02,-10700,-594,3,18
"FB_RSI>=52",2026-03,13150,626,2,21
"FB_RSI>=52",2026-04,-3200,-152,6,21
"FB_RSI>=52",2026-05,94800,5267,3,18
"FB_RSI>=55",2025-11,-4100,-228,3,18
"FB_RSI>=55",2025-12,55400,2518,6,22
"FB_RSI>=55",2026-01,-61950,-3261,2,19
"FB_RSI>=55",2026-02,-10700,-594,3,18
"FB_RSI>=55",2026-03,13150,626,2,21
"FB_RSI>=55",2026-04,-3200,-152,6,21
"FB_RSI>=55",2026-05,94800,5267,3,18
"FB_RSI>=58",2025-11,-4100,-228,3,18
"FB_RSI>=58",2025-12,55400,2518,6,22
"FB_RSI>=58",2026-01,-61950,-3261,2,19
"FB_RSI>=58",2026-02,-10700,-594,3,18
"FB_RSI>=58",2026-03,13150,626,2,21
"FB_RSI>=58",2026-04,-3200,-152,6,21
"FB_RSI>=58",2026-05,94800,5267,3,18
"FC_出来高2.0倍",2025-11,100050,5558,9,18
"FC_出来高2.0倍",2025-12,115050,5230,11,22
"FC_出来高2.0倍",2026-01,-113950,-5997,2,19
"FC_出来高2.0倍",2026-02,-550,-31,6,18
"FC_出来高2.0倍",2026-03,118600,5648,9,21
"FC_出来高2.0倍",2026-04,154900,7376,10,21
"FC_出来高2.0倍",2026-05,104900,5828,6,18
"FC_出来高1.5倍",2025-11,98400,5467,10,18
"FC_出来高1.5倍",2025-12,86100,3914,10,22
"FC_出来高1.5倍",2026-01,-90100,-4742,2,19
"FC_出来高1.5倍",2026-02,15150,842,6,18
"FC_出来高1.5倍",2026-03,106850,5088,9,21
"FC_出来高1.5倍",2026-04,41700,1986,9,21
"FC_出来高1.5倍",2026-05,111100,6172,7,18
"FD_損切り0.45%",2025-11,121850,6769,9,18
"FD_損切り0.45%",2025-12,134000,6091,12,22
"FD_損切り0.45%",2026-01,-119450,-6287,2,19
"FD_損切り0.45%",2026-02,-8050,-447,6,18
"FD_損切り0.45%",2026-03,134150,6388,9,21
"FD_損切り0.45%",2026-04,165500,7881,11,21
"FD_損切り0.45%",2026-05,137500,7639,8,18
"FD_損切り0.40%",2025-11,108850,6047,9,18
"FD_損切り0.40%",2025-12,134800,6127,12,22
"FD_損切り0.40%",2026-01,-110950,-5839,2,19
"FD_損切り0.40%",2026-02,-6950,-386,6,18
"FD_損切り0.40%",2026-03,131150,6245,8,21
"FD_損切り0.40%",2026-04,163300,7776,12,21
"FD_損切り0.40%",2026-05,137500,7639,8,18
"FD_損切り0.35%",2025-11,101850,5658,9,18
"FD_損切り0.35%",2025-12,113400,5155,12,22
"FD_損切り0.35%",2026-01,-101750,-5355,2,19
"FD_損切り0.35%",2026-02,-17650,-981,6,18
"FD_損切り0.35%",2026-03,110050,5240,8,21
"FD_損切り0.35%",2026-04,152100,7243,11,21
"FD_損切り0.35%",2026-05,137500,7639,8,18
"FA10+FB55",2025-11,-4100,-228,3,18
"FA10+FB55",2025-12,55400,2518,6,22
"FA10+FB55",2026-01,-61950,-3261,2,19
"FA10+FB55",2026-02,-10700,-594,3,18
"FA10+FB55",2026-03,13150,626,2,21
"FA10+FB55",2026-04,-3200,-152,6,21
"FA10+FB55",2026-05,94800,5267,3,18
"FA10+FC2.0",2025-11,100050,5558,9,18
"FA10+FC2.0",2025-12,115050,5230,11,22
"FA10+FC2.0",2026-01,-113950,-5997,2,19
"FA10+FC2.0",2026-02,-550,-31,6,18
"FA10+FC2.0",2026-03,118600,5648,9,21
"FA10+FC2.0",2026-04,154900,7376,10,21
"FA10+FC2.0",2026-05,104500,5806,6,18
"FB55+FC2.0",2025-11,-4100,-228,3,18
"FB55+FC2.0",2025-12,55400,2518,6,22
"FB55+FC2.0",2026-01,-61950,-3261,2,19
"FB55+FC2.0",2026-02,-10700,-594,3,18
"FB55+FC2.0",2026-03,13150,626,2,21
"FB55+FC2.0",2026-04,-3200,-152,6,21
"FB55+FC2.0",2026-05,94800,5267,3,18
"FA10+FB55+FC2.0",2025-11,-4100,-228,3,18
"FA10+FB55+FC2.0",2025-12,55400,2518,6,22
"FA10+FB55+FC2.0",2026-01,-61950,-3261,2,19
"FA10+FB55+FC2.0",2026-02,-10700,-594,3,18
"FA10+FB55+FC2.0",2026-03,13150,626,2,21
"FA10+FB55+FC2.0",2026-04,-3200,-152,6,21
"FA10+FB55+FC2.0",2026-05,94800,5267,3,18
"FA10+FB55+FD0.45",2025-11,-4100,-228,3,18
"FA10+FB55+FD0.45",2025-12,55400,2518,6,22
"FA10+FB55+FD0.45",2026-01,-61950,-3261,2,19
"FA10+FB55+FD0.45",2026-02,-10700,-594,3,18
"FA10+FB55+FD0.45",2026-03,13150,626,2,21
"FA10+FB55+FD0.45",2026-04,-3200,-152,6,21
"FA10+FB55+FD0.45",2026-05,94800,5267,3,18
"FA10+FB55+FC2.0+FD0.45",2025-11,-4100,-228,3,18
"FA10+FB55+FC2.0+FD0.45",2025-12,55400,2518,6,22
"FA10+FB55+FC2.0+FD0.45",2026-01,-61950,-3261,2,19
"FA10+FB55+FC2.0+FD0.45",2026-02,-10700,-594,3,18
"FA10+FB55+FC2.0+FD0.45",2026-03,13150,626,2,21
"FA10+FB55+FC2.0+FD0.45",2026-04,-3200,-152,6,21
"FA10+FB55+FC2.0+FD0.45",2026-05,94800,5267,3,18
"FA15+FB55+FC1.5+FD0.45",2025-11,-4100,-228,3,18
"FA15+FB55+FC1.5+FD0.45",2025-12,55400,2518,6,22
"FA15+FB55+FC1.5+FD0.45",2026-01,-61950,-3261,2,19
"FA15+FB55+FC1.5+FD0.45",2026-02,-10700,-594,3,18
"FA15+FB55+FC1.5+FD0.45",2026-03,13150,626,2,21
"FA15+FB55+FC1.5+FD0.45",2026-04,-3200,-152,6,21
"FA15+FB55+FC1.5+FD0.45",2026-05,94800,5267,3,18