date,symbol,entryTime,entryPrice,exitPrice,pnl,win,timeMinutes,hour,volumeRatio,atrRatio,adx,boardScore,buyPressureRatio,slope,vwapDeviation,rsi,bbPosition,barsAboveRound,regime,boardSignal,largeBuyWall,largeSellWall,ma5_above_ma25_5m
2026-06-17,3436,09:22,3996,4031,-7000,false,562,9,1,0.003189367107674956,21.93974965027555,2,0.51,-0.004309500489715965,0,35.59325506326687,-0.016411943400296353,9,neutral,sell_pressure,false,false,false
2026-06-17,3436,09:44,3990,4016,-5200,false,584,9,1,0.0022133177760963675,14.014202770117473,2,0.51,-0.0006993006993006993,0,37.10148915210743,-0.11394406322997483,9,down,sell_pressure,false,false,false
2026-06-17,3436,10:31,4099,4131,-6400,false,631,10,1,0.0016167253353722693,29.964970279027188,2,0.66,-0.0010194174757281553,0,54.51132290980163,0.3641413774430643,9,neutral,sell_pressure,false,false,false
2026-06-17,3436,12:38,4182,4193,-2200,false,758,12,1,0.0021578683098941844,33.20926084741232,2,0.61,-0.00023883448770002386,0,56.582779808005945,0.6827505496698316,9,neutral,sell_pressure,false,false,true
2026-06-17,3778,10:42,3000,3025,-7500,false,642,10,1,0.0012509672564984587,17.3898053206977,0,0.97,-0.00033277870216306157,0,40.807470597119895,0.18315375448006302,9,down,neutral,false,false,false
2026-06-17,5016,10:00,4300,4324,-4800,false,600,10,1,0.002151480307298836,22.722519348513718,2,0.41,-0.001018047200370199,0,33.009513590341356,0.12042228255076624,9,down,sell_pressure,false,false,false
2026-06-17,5016,10:35,4398,4428,-6000,false,635,10,1,0.001850009474526827,24.179217215979566,2,0.56,-0.00040844111640571813,0,57.858511509521485,0.6631188709235732,9,neutral,sell_pressure,false,false,false
2026-06-17,5016,10:42,4395,4428,-6600,false,642,10,1,0.0017377957339336277,20.102303804044418,2,0.54,-0.00013642564802182812,0,52.872902146046656,0.4616239424493755,9,neutral,sell_pressure,false,false,false
2026-06-17,5016,10:50,4398,4428,-6000,false,650,10,1,0.0013238042518582199,15.232568907272736,2,0.54,-0.0000909090909090909,0,52.79964109614544,0.3683846627030507,9,neutral,sell_pressure,false,false,false
2026-06-17,5016,13:30,4393,4360,6600,true,810,13,1,0.0013696468996192304,32.50520472777911,2,0.51,-0.0015808491418247517,-0.007381185508774641,17.833648246823486,-0.08216680650785269,9,down,sell_pressure,false,false,false
2026-06-17,6526,09:22,2499,2520,-6300,false,562,9,1,0.003973527783069685,51.38933589275128,0,1.02,-0.00047904191616766467,0,73.15218920847855,0.7319080643686021,9,neutral,neutral,false,false,false
2026-06-17,6723,09:21,4391,4320,14200,true,561,9,1,0.0033491776670728198,3.7984180707685304,2,0.42,-0.0018501805054151623,0,41.191583503457835,0.1456611591655382,9,neutral,sell_pressure,false,false,false
2026-06-17,8316,09:17,6494,6496,-200,false,557,9,1,0.0013363984337190374,31.538015779676723,2,0.51,-0.0006446661550268612,0,31.33450911228688,0.5,9,neutral,sell_pressure,false,false,false
2026-06-17,9984,09:31,6891,6909,-1800,false,571,9,1,0.0029155183099796927,9.549008272187313,0,0.82,-0.0004921829762594093,0,55.37075206807133,0.7353059722272496,9,neutral,neutral,false,false,false
2026-06-17,9984,09:42,6899,6909,-1000,false,582,9,1,0.0018766046606032369,12.493633003237305,1,0.78,-0.0004050339939244901,0,53.09771242056021,0.5133800464199786,9,neutral,neutral,false,false,false
2026-06-17,9984,10:15,6888,6852,3600,true,615,10,1,0.0013777417380616483,13.05068930084525,1,0.71,-0.001126028583802512,0,43.31116261326671,0.26381898920997054,9,neutral,neutral,false,false,false
2026-06-18,3436,09:11,4280,4303,-4600,false,551,9,1,0.004906542056074766,0,2,0.58,-0.00014008872285780995,0,50,0.5,9,neutral,sell_pressure,false,false,false
2026-06-18,3436,09:15,4292,4336,-8800,false,555,9,1,0.004953958683726453,45.324727743638555,2,0.58,-0.00041850732387816787,0,69.85294117647058,0.5,9,neutral,sell_pressure,false,false,false
2026-06-18,3436,09:18,4299,4345,-9200,false,558,9,1,0.00519795710705037,44.425459633540484,2,0.57,-0.00018591680223100163,0,65.34309524587255,0.6058994550154884,9,neutral,sell_pressure,false,false,false
2026-06-18,3436,09:23,4297,4343,-9200,false,563,9,1,0.0049606760895584984,40.22865265211028,2,0.55,-0.00009304489416143288,0,59.2866910222999,0.4468672739768138,9,neutral,sell_pressure,false,false,false
2026-06-18,3436,09:37,4298,4256,8400,true,577,9,1,0.0029564450244350705,24.494440338691877,2,0.54,-0.0002788104089219331,0,53.05087354252586,0.2788279765686689,9,down,sell_pressure,false,false,false
2026-06-18,3436,10:06,4196,4162,6800,true,606,10,1,0.0020139154605034845,22.31708648372184,2,0.47,-0.0017481691471769429,0,31.960882536337806,0.00977229325073733,9,down,sell_pressure,false,false,false
2026-06-18,3436,10:11,4195,4162,6600,true,611,10,1,0.0020121763890192605,23.508255335639397,2,0.49,-0.00004766444232602478,0,36.47309515619739,0.17007745156739087,9,neutral,sell_pressure,false,false,false
2026-06-18,3436,10:14,4198,4162,7200,true,614,10,1,0.001934234670820874,22.38011397639855,2,0.49,-0.0006174305390643553,0,39.459332724434475,0.24494078467318534,9,down,sell_pressure,false,false,false
2026-06-18,3436,10:21,4193,4162,6200,true,621,10,1,0.0018683505692653891,19.124060720455013,2,0.49,-0.00023820867079561698,0,40.76109225495087,0.21298486059243277,9,down,sell_pressure,false,false,false
2026-06-18,3436,10:50,4098,4121,-4600,false,650,10,1,0.0017334020108601118,31.583377706776577,2,0.41,-0.0014534883720930232,0,25.346043981589546,-0.07604018541576618,9,down,sell_pressure,false,false,false
2026-06-18,3436,11:01,4099,4121,-4400,false,661,11,1,0.0013378733785998154,31.42287203440994,2,0.43,-0.0001462701121404193,0,33.66519367498839,0.22066327414274806,9,neutral,sell_pressure,false,false,false
2026-06-18,5016,09:22,4390,4391,-200,false,562,9,1,0.004336419859942282,10.314390301689837,2,0.51,-0.0024746906636670418,0,42.19588988235465,-0.00408110460494498,9,neutral,sell_pressure,false,false,false
2026-06-18,5016,09:40,4396,4303,18600,true,580,9,1,0.002910596135625522,8.193692929622472,2,0.52,-0.0009508716323296355,0,47.25661731312288,0.5503321038693112,9,neutral,sell_pressure,false,false,false
2026-06-18,5016,09:42,4391,4303,17600,true,582,9,1,0.0027820724713624057,7.7659566731413525,2,0.52,-0.0006808896958692692,0,45.935368147579055,0.4683232791399742,9,neutral,sell_pressure,false,false,false
2026-06-18,5016,10:05,4293,4294,-200,false,605,10,1,0.0021619234158013383,26.13445568323462,2,0.35,-0.0012959962971534366,0,28.93113003792432,0.10648242029174211,9,down,sell_pressure,false,false,false
2026-06-18,5016,10:13,4273,4296,-4600,false,613,10,1,0.0023679310827697726,27.59736315948512,2,0.33,-0.0012095836240986276,0,31.889435932555358,0.09880445964264424,9,down,sell_pressure,false,false,false
2026-06-18,5803,09:48,4795,4723,14400,true,588,9,1,0.0022341626028191453,10.31484032211436,2,0.57,-0.0005822416302765648,0,40.70075745346719,0.08100854013181497,9,down,sell_pressure,false,false,false
2026-06-18,5803,10:05,4698,4726,-5600,false,605,10,1,0.002126591024088664,28.032619173536926,2,0.42,-0.0022311092401599663,0,23.678327440230788,-0.025107040401533325,9,down,sell_pressure,false,false,false
2026-06-18,5803,10:15,4693,4717,-4800,false,615,10,1,0.002076517779780527,27.80680369065954,2,0.44,-0.0013965298349555648,0,31.865304707656477,0.07960490822790127,9,down,sell_pressure,false,false,false
2026-06-18,5803,10:25,4695,4672,4600,true,625,10,1,0.0017462224538373294,22.806734495444733,2,0.46,-0.0012698412698412698,0,36.78298922919349,0.14761826849763232,9,down,sell_pressure,false,false,false
2026-06-18,5803,10:28,4699,4680,3800,true,628,10,1,0.001825425310889256,21.16063449093637,2,0.46,-0.00012760527435133986,0,40.796815880681145,0.20906754859703974,9,neutral,sell_pressure,false,false,false
2026-06-18,5803,15:29,4461,4461,0,false,929,15,1,0.002160063236069328,45.11252652859354,2,0.3,-0.004084321475625824,-0.04638734501923899,6.765120640286355,-0.45042157385247905,9,down,sell_pressure,false,false,false
2026-06-18,6526,09:49,2697.5,2726,-8550,false,589,9,1,0.003004340718753784,22.284703094210393,2,0.66,-0.0015084621044885946,0,47.51408700153017,0.022488647472678414,9,down,sell_pressure,false,false,false
2026-06-18,6526,10:06,2698.5,2704.5,-1800,false,606,10,1,0.002700442089485801,15.886070948885083,1,0.7,-0.002416254805052169,0,41.76807716969301,0.21349381066457562,9,neutral,neutral,false,false,false
2026-06-18,6526,14:55,2598.5,2604,-1650,false,895,14,1,0.0013049115856126228,19.05569271061476,2,0.59,-0.0005755947812739831,-0.022752914629559987,34.870405091923985,0.05070906436615985,9,down,sell_pressure,false,false,true
2026-06-18,6526,15:00,2598,2604,-1800,false,900,15,1,0.001217848730663721,20.936128845216448,2,0.59,-0.000038483740619588224,-0.022940955246333206,38.007966258614665,0.22226555210041885,9,neutral,sell_pressure,false,false,true
2026-06-18,6723,09:32,4655,4680,-5000,false,572,9,1,0.0036690388782433803,53.64382213821135,2,0.57,-0.00047149592798971285,0,55.46743954668592,0.14266607766833128,9,neutral,sell_pressure,false,false,false
2026-06-18,6723,12:38,4594,4617,-4600,false,758,12,1,0.0014170383472368012,24.944799303620954,2,0.42,-0.00047774158523344195,-0.01034037052994399,32.67657216418458,0.0999822725916243,9,down,sell_pressure,false,false,false
2026-06-18,6758,09:14,3293,3277,4800,true,554,9,1,0.0014052690617698642,50.86048770023586,2,0.55,-0.0002426448286320898,0,64.49834619625139,0.5,9,neutral,sell_pressure,false,false,false
2026-06-18,7011,09:55,3995,4017,-4400,false,595,9,1,0.0019415855962355267,15.54213929698399,2,0.67,-0.0011448481831757094,0,34.199270492126004,0.035696832155296454,9,down,sell_pressure,false,false,false
2026-06-18,7011,10:14,3999,3972,5400,true,614,10,1,0.001516428631774042,11.804863316474428,1,0.67,-0.000299625468164794,0,42.734536664805454,0.40138695347403863,9,neutral,neutral,false,false,false
2026-06-18,8316,10:14,6691,6693,-200,false,614,10,1,0.00125386224090545,15.198281734417776,0,0.81,-0.0007148175725986596,0,49.059561145461096,0.49390552663513726,9,neutral,neutral,false,false,false
2026-06-18,9984,09:32,7188,7224,-3600,false,572,9,1,0.0033922572641835887,7.681808053293202,0,0.8,-0.000055632823365785815,0,49.19921608710301,0.4139007445803263,9,neutral,neutral,false,false,false
2026-06-18,9984,09:35,7197,7251,-5400,false,575,9,1,0.0029018635091541192,6.5652889074658365,1,0.79,-0.0011054304269725024,0,50.45982494034113,0.4468832086524209,9,neutral,neutral,false,false,false
2026-06-18,9984,09:47,7197,7088,10900,true,587,9,1,0.002502978103389421,8.241403148034408,0,0.85,-0.0014620689655172414,0,48.02583522837492,0.348955437968843,9,neutral,neutral,false,false,false
2026-06-18,9984,10:05,7097,7133,-3600,false,605,10,1,0.001753773373528025,19.762272894200386,2,0.59,-0.001204481792717087,0,32.33710395999243,0.10194625641742089,9,down,sell_pressure,false,false,false
2026-06-18,9984,10:24,7096,7143,-4700,false,624,10,1,0.0018872233695251435,13.091775599885201,2,0.59,-0.0008419870895312938,0,40.36371978976958,0.22310676069298038,9,neutral,sell_pressure,false,false,false
2026-06-18,9984,10:31,7097,7143,-4600,false,631,10,1,0.001636920287446402,12.086997389904777,2,0.59,-0.0002814126917123962,0,42.19333596768104,0.17715940416976028,9,down,sell_pressure,false,false,false
2026-06-18,9984,10:47,7085,7123,-3800,false,647,10,1,0.0019483410241282074,14.32732440784039,2,0.57,-0.0018458956789260243,0,40.161875410534755,0.17381663504016032,9,neutral,sell_pressure,false,false,false
2026-06-18,9984,11:00,7098,7096,200,true,660,11,1,0.0016617157881864575,11.285441458699177,2,0.59,-0.0007019514249613927,0,45.584579785848746,0.34020663767270914,9,neutral,sell_pressure,false,false,false
2026-06-18,9984,11:10,7096,7096,0,false,670,11,1,0.0017289208718180786,10.530029803269835,2,0.59,0,0,46.622767045795825,0.36735458508861485,9,neutral,sell_pressure,false,false,false
2026-06-18,9984,13:33,7198,7234,-3600,false,813,13,1,0.0012389773868851477,18.77012838051248,0,0.86,-0.0004712404712404712,0.014231365365647456,37.13938202028505,0.02876309850369151,9,down,neutral,false,false,true
2026-06-19,3436,09:33,4357,4363,-1200,false,573,9,1,0.005936454242625553,23.577798167440342,2,0.53,-0.0032068654019873537,0,39.87906437898755,0.36788621667638083,9,neutral,sell_pressure,false,false,false
2026-06-19,3436,10:32,4400,4422,-4400,false,632,10,1,0.002299923265239457,10.075538687767793,2,0.55,-0.0005439709882139619,0,43.29878944489615,-0.09403174432241052,9,down,sell_pressure,false,false,false
2026-06-19,3436,10:40,4386,4315,14200,true,640,10,1,0.0021871502312091483,8.90997190053512,2,0.54,-0.0014486192847442281,0,38.57557090151832,-0.16379610814482623,9,down,sell_pressure,false,false,false
2026-06-19,3436,13:46,4198,4226,-5600,false,826,13,1,0.001464396173671141,18.243806867422418,2,0.34,-0.0013721315353678733,0,31.39075404762599,-0.11382559166960882,9,down,sell_pressure,false,false,false
2026-06-19,3436,13:51,4198,4226,-5600,false,831,13,1,0.0016150871398983627,18.766794233520358,2,0.34,0,0,36.736630769915195,0.0809084012755279,9,neutral,sell_pressure,false,false,false
2026-06-19,3778,10:17,3200,3225,-7500,false,617,10,1,0.0016872448193070632,27.892944354515254,0,1.14,-0.0006230529595015577,0,62.2126806716394,0.7156655464068763,9,neutral,neutral,false,false,false
2026-06-19,3778,10:19,3200,3225,-7500,false,619,10,1,0.0016700605839943552,27.48964145324057,0,1.12,-0.0006230529595015577,0,60.400002126941025,0.6689213343233469,9,neutral,neutral,false,false,false
2026-06-19,5016,09:33,4587,4631,-8800,false,573,9,1,0.0041539539271164706,11.524669233935311,1,0.78,-0.000304745319982586,0,48.52727070455748,0.5534649103726182,9,neutral,neutral,false,false,false
2026-06-19,5016,10:34,4698,4762,-12800,false,634,10,1,0.0017432689457691627,15.449055422244138,0,1.01,-0.0005095541401273885,0,56.318263323508766,0.6538274471620289,9,neutral,neutral,false,false,false
2026-06-19,5016,10:51,4682,4688,-1200,false,651,10,1,0.003061371815030534,18.908140113061087,0,0.99,-0.0038131154410224175,0,39.95309178492593,0.055974690250894805,9,neutral,neutral,false,false,false
2026-06-19,5016,11:03,4593,4622,-5800,false,663,11,1,0.004041996606437073,19.31383834301391,1,0.74,-0.004136460554371002,0,31.61674442966614,-0.007891091795857511,9,down,neutral,false,false,false
2026-06-19,5016,11:13,4589,4614,-5000,false,673,11,1,0.003451475268898826,19.34551325967366,1,0.77,-0.002240896358543417,0,35.77028976145134,0.1526293289781038,9,down,neutral,false,false,false
2026-06-19,6526,09:24,2695.5,2711,-4650,false,564,9,1,0.0051805919919442455,3.83631329923657,2,0.41,-0.002165137614678899,0,51.91815856777494,0.5,9,neutral,sell_pressure,false,false,false
2026-06-19,6526,10:14,2796,2751.5,13350,true,614,10,1,0.00240387537143045,24.940478294746978,2,0.61,-0.0015261756876663707,0,53.70262089399207,0.49745453131768574,9,neutral,sell_pressure,false,false,false
2026-06-19,6723,09:31,4798,4803,-1000,false,571,9,1,0.002620644480322364,8.183157863600478,2,0.63,-0.0002497918401332223,0,49.61495389421767,0.5024129480660626,9,neutral,sell_pressure,false,false,false
2026-06-19,6723,12:58,4792,4768,4800,true,778,12,1,0.0012782904484512846,15.099881030573417,2,0.58,-0.0010379904504878555,0,37.13677066424989,-0.1172011611999015,9,down,sell_pressure,false,false,false
2026-06-19,8316,09:23,6588,6533,5500,true,563,9,1,0.0025804493017607772,0,2,0.41,-0.0013268998793727383,0,50,0.5,9,neutral,sell_pressure,false,false,false
2026-06-19,8316,09:53,6498,6533,-3500,false,593,9,1,0.0012576011264494643,50.65581256461586,2,0.37,-0.0007359705611775528,0,26.795886538115127,-0.04074955272292314,9,down,sell_pressure,false,false,false
2026-06-19,9984,10:43,7398,7280,11800,true,643,10,1,0.0014243185958244114,11.78427119902494,2,0.5,-0.0005929919137466307,0,39.879318090584356,0.027032406505058636,9,down,sell_pressure,false,false,false
2026-06-19,9984,10:57,7279,7287,-800,false,657,10,1,0.0016167180321660442,34.85581010935778,2,0.42,-0.000027472527472527473,0,28.815356621646316,0.2104965073508429,9,neutral,sell_pressure,false,false,false
2026-06-22,3436,09:24,4198,4229,-6200,false,564,9,1,0.0036515025232249933,12.942576214792139,2,0.56,-0.0013721315353678733,0,38.43002529355284,-0.012579651728771516,9,down,sell_pressure,false,false,false
2026-06-22,3436,13:30,4294,4296,-400,false,810,13,1,0.0012015847059631069,14.23576390435797,2,0.59,-0.000649953574744661,-0.002709607494000225,38.97968877824267,-0.02597521593244651,9,down,sell_pressure,false,false,true
2026-06-22,3778,09:59,3100,3120,-6000,false,599,9,1,0.0012131347028894234,12.704347433584319,1,0.69,-0.001282051282051282,0,37.14918063951782,-0.003263505527013061,9,down,neutral,false,false,false
2026-06-22,3778,13:24,3200,3225,-7500,false,804,13,1,0.001804299731357588,38.97096065460587,0,0.86,-0.0015503875968992248,0,44.31062639121999,0.09655111512109621,9,neutral,neutral,false,false,true
2026-06-22,3778,13:37,3200,3220,-6000,false,817,13,1,0.0018418040447446432,24.380159579313847,0,0.83,-0.0015503875968992248,0,42.53242791862716,0.05886152957075506,9,down,neutral,false,false,true
2026-06-22,3778,13:41,3200,3220,-6000,false,821,13,1,0.00157715900463223,20.92086029517543,0,0.84,-0.00031201248049921997,0,43.02910343428593,0.1742208179276965,9,down,neutral,false,false,true
2026-06-22,3778,13:51,3200,3220,-6000,false,831,13,1,0.0013830015327099448,14.012143671998064,0,0.83,-0.0009331259720062209,0,44.505922247190746,0.3094816259278205,9,down,neutral,false,false,true
2026-06-22,3778,14:35,3200,3190,3000,true,875,14,1,0.0013732124885269359,17.145766956487574,1,0.78,-0.0006230529595015577,0,43.768706067609905,0.4554564596812627,9,neutral,neutral,false,false,true
2026-06-22,5016,09:38,5072,5086,-1400,false,578,9,1,0.004855029492796921,20.79746203889406,0,0.85,-0.0023767777128384958,0,48.68231445313991,0.041037364783090495,9,down,neutral,false,false,false
2026-06-22,5016,09:53,5046,5092,-4600,false,593,9,1,0.003907517016774939,13.645417915611151,1,0.79,-0.0018845700824499409,0,43.59914943909469,0.17844650789186825,9,down,neutral,false,false,false
2026-06-22,5016,10:35,5177,5208,-3100,false,635,10,1,0.002388671627283226,26.69889641740912,0,1.31,-0.000385579332947754,0,57.037322553182776,0.6247481147887497,9,neutral,neutral,false,false,false
2026-06-22,5016,10:39,5192,5255,-6300,false,639,10,1,0.002340280542081865,25.732495258679048,0,1.31,-0.0006144393241167435,0,58.25471862160377,0.6549516538623512,9,neutral,neutral,false,false,false
2026-06-22,5016,13:23,5288,5288,0,false,803,13,1,0.0013393419616836357,29.56873602815867,0,1.28,-0.0013150479053165509,-0.002765903947699328,23.577856201887315,-0.0028728148670810615,9,down,neutral,false,false,true
2026-06-22,5016,14:03,5293,5313,-2000,false,843,14,1,0.001279243456687385,17.771300714961125,0,1.18,-0.0007153614457831325,-0.0018229821473473037,43.81247586105747,0.21745816623384057,9,neutral,neutral,false,false,false
2026-06-22,5016,14:10,5300,5325,-2500,false,850,14,1,0.001331285880823466,12.460926095058792,0,1.21,-0.00007544322897019993,-0.00050289162685447,47.63520836526192,0.2282757207804046,9,neutral,neutral,false,false,false
2026-06-22,6526,10:45,2699,2701,-600,false,645,10,1,0.0018197022560797285,25.25485290468208,2,0.47,-0.0006278855032317637,0,57.4139370789222,0.6285986133674124,9,neutral,sell_pressure,false,false,false
2026-06-22,6526,12:50,2697,2684.5,3750,true,770,12,1,0.0013114043196485615,16.115769302353474,2,0.47,-0.0013625483336402136,-0.004735838612460847,40.94215809379773,0.2909957041137108,9,neutral,sell_pressure,false,false,false
2026-06-22,6526,13:03,2697,2684.5,3750,true,783,13,1,0.0013604462268994005,12.39830007065139,2,0.48,-0.00029618659755646057,-0.004735838612460847,44.49835877140943,0.23043086221040596,9,down,sell_pressure,false,false,false
2026-06-22,6526,13:09,2698,2684.5,4050,true,789,13,1,0.0012624023339454903,9.318461161977824,2,0.48,-0.0004068799704087294,-0.004366812227074291,45.56522904076296,0.28174053257201054,9,down,sell_pressure,false,false,false
2026-06-22,6526,15:17,2697.5,2711,-4050,false,917,15,1,0.0013104848394090833,25.973382767438867,2,0.5,-0.0004438690586277048,-0.004551325419767569,57.57610597670768,0.5981454152847367,9,neutral,sell_pressure,false,false,true
2026-06-22,6723,13:36,4990,5018,-2800,false,816,13,1,0.0016977233958677556,20.208457398488115,2,0.61,-0.0013930348258706469,-0.012988725522516047,25.825758258177785,-0.3260738218728928,9,down,sell_pressure,false,false,false
2026-06-22,7011,09:38,3900,3886,2800,true,578,9,1,0.0013881090281735546,24.30278103600225,2,0.52,-0.00015372790161414298,0,59.36819184089793,0.6169122961829032,9,neutral,sell_pressure,false,false,false
2026-06-22,9984,10:02,7195,7231,-3600,false,602,10,1,0.0014591200245459512,11.795082010663222,2,0.55,0,0,52.44401958852312,0.7437262033433871,9,neutral,sell_pressure,false,false,false
2026-06-22,9984,10:58,7281,7272,900,true,658,10,1,0.0017676869660246083,17.402454596769886,2,0.61,-0.0004932182490752158,0,49.41835425809249,0.3074973398786971,9,neutral,sell_pressure,false,false,false
2026-06-22,9984,11:01,7289,7272,1700,true,661,11,1,0.0017529885368211546,15.359937446200163,2,0.61,-0.0008741975140008195,0,50.941289315413655,0.39205993000888567,9,neutral,sell_pressure,false,false,false
2026-06-23,3436,09:20,4079,4082,-600,false,560,9,1,0.004756910014243193,13.207168807854881,2,0.49,-0.004082612872238232,0,32.14410585630584,-0.08694199399504075,9,neutral,sell_pressure,false,false,false
